index,Equity(1 [XLK]),Equity(2 [XLF]),Equity(3 [XLE]),Equity(4 [XLB]),Equity(5 [XLY]),Equity(6 [XLP]),cash
2012-04-10 00:00:00+00:00,1477.0,748.45,3411.95,1760.45,2175.45,1671.95,-227.8
2012-04-11 00:00:00+00:00,1485.45,760.45,3413.0,1779.5,2205.5,1680.5,-227.8
2012-04-12 00:00:00+00:00,1504.0,774.45,3487.5,1828.0,2233.45,1681.5,-227.8
2012-04-13 00:00:00+00:00,1480.5,756.45,3434.95,1806.5,2227.45,1681.5,-227.8
2012-04-16 00:00:00+00:00,1464.95,761.95,3411.95,1812.0,2219.45,1688.5,-227.8
2012-04-17 00:00:00+00:00,1497.0,772.95,3467.45,1836.5,2243.0,1705.5,-227.8
2012-04-18 00:00:00+00:00,1485.95,766.95,3460.45,1831.5,2246.5,1705.5,-227.8
2012-04-19 00:00:00+00:00,1469.45,763.5,3456.0,1825.0,2228.5,1700.0,-227.8
2012-04-20 00:00:00+00:00,1464.0,759.5,3447.95,1824.0,2231.95,1715.5,-227.8
2012-04-23 00:00:00+00:00,1452.45,753.95,3444.45,1801.45,2208.0,1688.95,-227.8
2012-04-24 00:00:00+00:00,1449.5,762.45,3470.0,1801.45,2200.45,1689.5,-227.8
2012-04-25 00:00:00+00:00,1490.45,769.0,3504.45,1839.5,2237.5,1700.45,-227.8
2012-04-26 00:00:00+00:00,1502.0,775.5,3541.5,1837.5,2265.5,1716.0,-227.8
2012-04-27 00:00:00+00:00,1501.5,776.0,3540.0,1846.5,2293.45,1713.5,-227.8
2012-04-30 00:00:00+00:00,1491.0,771.45,3561.95,1833.45,2280.5,1709.0,-227.8
2012-05-01 00:00:00+00:00,1496.0,779.45,3613.0,1844.45,2295.5,1713.5,-227.8
2012-05-02 00:00:00+00:00,1497.0,773.45,3554.0,1835.45,2308.0,1714.95,-227.8
2012-05-03 00:00:00+00:00,1484.5,766.95,3495.0,1814.5,2289.95,1717.45,-227.8
2012-05-04 00:00:00+00:00,1453.5,754.95,3415.0,1784.0,2245.5,1704.0,-227.8
2012-05-07 00:00:00+00:00,1449.5,759.5,3404.95,1785.45,2244.45,1706.5,-227.8
2012-05-08 00:00:00+00:00,1444.45,754.45,3393.95,1777.0,2217.45,1702.45,-227.8
2012-05-09 00:00:00+00:00,1444.45,746.0,3377.5,1761.0,2209.0,1694.0,-227.8
2012-05-10 00:00:00+00:00,1433.5,749.0,3391.95,1755.5,2216.5,1705.95,-227.8
2012-05-11 00:00:00+00:00,1434.5,740.45,3366.95,1750.45,2212.0,1701.45,-227.8
2012-05-14 00:00:00+00:00,1422.0,725.45,3311.0,1726.45,2180.95,1694.45,-227.8
2012-05-15 00:00:00+00:00,1418.0,721.5,3256.0,1700.45,2177.45,1692.45,-227.8
2012-05-16 00:00:00+00:00,1406.45,710.95,3237.5,1681.95,2174.0,1697.95,-227.8
2012-05-17 00:00:00+00:00,1386.5,696.5,3216.95,1645.0,2116.5,1686.0,-227.8
2012-05-18 00:00:00+00:00,1373.45,688.5,3196.95,1638.5,2100.45,1676.0,-227.8
2012-05-21 00:00:00+00:00,1407.5,695.0,3270.5,1686.5,2137.5,1682.5,-227.8
2012-05-22 00:00:00+00:00,1402.95,700.45,3262.5,1676.0,2145.95,1684.45,-227.8
2012-05-23 00:00:00+00:00,1404.5,703.0,3274.45,1695.95,2157.5,1679.95,-227.8
2012-05-24 00:00:00+00:00,1396.5,703.45,3272.0,1706.5,2167.45,1695.95,-227.8
2012-05-25 00:00:00+00:00,1393.5,701.0,3256.45,1699.5,2163.95,1694.45,-227.8
2012-05-29 00:00:00+00:00,1412.0,710.95,3311.0,1729.0,2194.0,1706.5,-227.8
2012-05-30 00:00:00+00:00,1402.95,694.45,3209.5,1697.95,2159.45,1692.45,-227.8
2012-05-31 00:00:00+00:00,1396.5,700.45,3181.5,1691.0,2154.95,1688.95,-227.8
2012-06-01 00:00:00+00:00,1360.0,674.5,0.0,0.0,2087.0,1658.0,4642.7
2012-06-04 00:00:00+00:00,1368.0,667.95,0.0,0.0,2094.45,1663.5,4642.7
2012-06-05 00:00:00+00:00,1376.5,678.95,0.0,0.0,2105.95,1661.5,4642.7
2012-06-06 00:00:00+00:00,1408.0,698.95,0.0,0.0,2151.45,1684.0,4642.7
2012-06-07 00:00:00+00:00,1401.0,698.45,0.0,0.0,2151.45,1689.95,4642.7
2012-06-08 00:00:00+00:00,1416.5,706.95,0.0,0.0,2170.5,1704.5,4642.7
2012-06-11 00:00:00+00:00,1396.5,693.95,0.0,0.0,2137.5,1696.5,4642.7
2012-06-12 00:00:00+00:00,1410.45,704.5,0.0,0.0,2160.45,1704.5,4642.7
2012-06-13 00:00:00+00:00,1402.0,701.95,0.0,0.0,2129.0,1702.0,4642.7
2012-06-14 00:00:00+00:00,1409.0,710.5,0.0,0.0,2157.5,1725.45,4642.7
2012-06-15 00:00:00+00:00,1418.5,716.95,0.0,0.0,2170.95,1716.5,4642.7
2012-06-18 00:00:00+00:00,1429.0,712.95,0.0,0.0,2186.5,1720.95,4642.7
2012-06-19 00:00:00+00:00,1439.95,724.95,0.0,0.0,2206.5,1719.45,4642.7
2012-06-20 00:00:00+00:00,1442.5,726.45,0.0,0.0,2204.0,1710.45,4642.7
2012-06-21 00:00:00+00:00,1408.5,710.5,0.0,0.0,2155.95,1690.5,4642.7
2012-06-22 00:00:00+00:00,1424.0,716.95,0.0,0.0,2165.5,1695.5,4642.7
2012-06-25 00:00:00+00:00,1395.0,701.95,0.0,0.0,2131.95,1685.0,4642.7
2012-06-26 00:00:00+00:00,1400.5,705.5,0.0,0.0,2158.45,1688.95,4642.7
2012-06-27 00:00:00+00:00,1409.0,713.95,0.0,0.0,2155.5,1699.0,4642.7
2012-06-28 00:00:00+00:00,1397.5,713.5,0.0,0.0,2143.45,1706.5,4642.7
2012-06-29 00:00:00+00:00,1436.5,732.0,0.0,0.0,2188.95,1738.5,4642.7
2012-07-02 00:00:00+00:00,1444.45,736.5,0.0,1755.5,2195.5,1748.5,2877.2
2012-07-03 00:00:00+00:00,1456.0,740.45,0.0,1780.5,2193.45,1756.5,2877.2
2012-07-05 00:00:00+00:00,1456.0,729.45,0.0,1778.0,2199.0,1750.0,2877.2
2012-07-06 00:00:00+00:00,1434.5,723.45,0.0,1757.5,2188.5,1747.95,2877.2
2012-07-09 00:00:00+00:00,1431.45,722.5,0.0,1746.5,2176.45,1745.95,2877.2
2012-07-10 00:00:00+00:00,1415.45,716.95,0.0,1720.5,2163.5,1747.95,2877.2
2012-07-11 00:00:00+00:00,1409.0,723.0,0.0,1714.95,2151.0,1745.5,2877.2
2012-07-12 00:00:00+00:00,1395.0,715.45,0.0,1706.5,2145.95,1746.95,2877.2
2012-07-13 00:00:00+00:00,1413.5,735.45,0.0,1737.0,2180.95,1766.5,2877.2
2012-07-16 00:00:00+00:00,1412.0,733.95,0.0,1730.5,2167.0,1757.5,2877.2
2012-07-17 00:00:00+00:00,1417.5,737.95,0.0,1752.45,2188.5,1764.95,2877.2
2012-07-18 00:00:00+00:00,1442.0,734.45,0.0,1762.95,2200.0,1765.5,2877.2
2012-07-19 00:00:00+00:00,1454.5,729.95,0.0,1781.95,2214.5,1762.95,2877.2
2012-07-20 00:00:00+00:00,1438.0,718.95,0.0,1770.95,2187.5,1752.0,2877.2
2012-07-23 00:00:00+00:00,1424.0,712.95,0.0,1743.0,2155.5,1737.0,2877.2
2012-07-24 00:00:00+00:00,1409.5,710.95,0.0,1716.0,2141.0,1731.5,2877.2
2012-07-25 00:00:00+00:00,1404.0,713.5,0.0,1716.0,2136.5,1731.95,2877.2
2012-07-26 00:00:00+00:00,1425.5,724.5,0.0,1724.0,2170.95,1760.45,2877.2
2012-07-27 00:00:00+00:00,1456.45,737.95,0.0,1755.5,2213.95,1780.5,2877.2
2012-07-30 00:00:00+00:00,1456.95,736.5,0.0,1754.0,2205.5,1789.5,2877.2
2012-07-31 00:00:00+00:00,1463.0,732.95,0.0,1742.0,2177.0,1781.5,2877.2
